Symbol,Name,Wtd Alpha,Last,Change,%Chg,52W High,52W Low,52W %Chg,Time
AXSM,Axsome Thera,453.5,38.71,1.81,4.91%,39.94,1.94,1136.74%,11/27/2019
ARWR,Arrowhead Pharma,374.2,69.02,1.32,1.95%,70.28,10.41,414.31%,11/27/2019
EVER,Everquote Inc Cl A,324.6,34.81,-0.32,-0.91%,36.14,4.05,521.61%,11/27/2019
APPS,Digital Turbine,319.6,8.63,0.39,4.73%,8.77,1.61,407.65%,11/27/2019
ADVM,Adverum Biotechnlgs,308.2,10.9,0.13,1.25%,16.38,2.81,208.05%,11/27/2019
RLMD,Relmada Therapeutics Inc,299.1,30.96,0.61,2.01%,36,4.4,567.24%,11/27/2019
EIDX,Eidos Therapeutics Inc,297.2,55.76,1.15,2.11%,58.84,11.15,298.00%,11/27/2019
MDCO,Medicines Company,286,84.05,0.17,0.20%,84.1,16.69,301.96%,11/27/2019
RCEL,Avita Medical Limited American Depositary Shares,280.9,8.51,0.22,2.65%,9.82,1.06,627.35%,11/27/2019
ZYME,Zymeworks Inc,268.1,42.95,1.4,3.37%,45.58,10.72,257.92%,11/27/2019
KRMD,Repro Med Sys Inc,253,4.83,0.34,7.57%,5.01,1.35,233.10%,11/27/2019
ROKU,Roku Inc,248.4,161.64,-2.64,-1.61%,176.55,26.3,312.14%,11/27/2019
CDLX,Cardlytics Inc,237.7,56.62,-0.07,-0.12%,59.92,9.8,290.21%,11/27/2019
BASI,Bioanalytical Syst,234.3,4.7,0.37,8.55%,5.43,1.18,258.78%,11/27/2019
PLMR,Palomar Holdings Inc,228.2,53.77,1.58,3.03%,54.6,18.06,183.15%,11/27/2019
JCS,Commun Systems Inc,208.4,7.3,-0.54,-6.89%,7.99,2.03,206.72%,11/27/2019
KOD,Kodiak Sciences Inc,199.9,27.27,-0.28,-1.02%,32.42,5.65,190.72%,11/27/2019
SBGL,Sibanye Gold Ltd ADR,198.2,7.43,-0.38,-4.87%,7.99,2.32,200.81%,11/27/2019
CCC.W,Churchill Capital Corp WT,193.53,6.65,0.05,0.76%,7.01,0.73,521.50%,11/27/2019
IDN,Intellicheck Mobilisia,186.3,6.73,-0.02,-0.30%,6.97,1.97,217.45%,11/27/2019
HEBT,Hebron Technology Co. Ltd,178.3,4.59,0.05,1.10%,5.1,0.5,302.63%,11/27/2019
CNST,Constellation Pharmaceuticals Inc,177.7,42.72,2.72,6.80%,45.42,4.01,660.14%,11/27/2019
ENPH,Enphase Energy Inc,177.3,23.04,1.53,7.11%,35.42,4.53,333.08%,11/27/2019
XPEL,Xpel Technologies,167.1,15.9,-0.02,-0.13%,16.23,4.19,146.89%,11/27/2019
REPH,Recro Pharma Inc,165.3,16.14,0.29,1.83%,18.2,5.53,132.56%,11/27/2019
STXS,Stereotaxis Inc,160.6,4.27,0.32,8.10%,4.75,1.01,202.84%,11/27/2019
SVM,Silvercorp Metals Inc,160,4.88,-0.01,-0.20%,4.94,1.87,159.57%,11/27/2019
INFU,Infusystems Holdings,157.8,8.12,0.2,2.53%,8.42,3.32,136.73%,11/27/2019
BLDP,Ballard Power Sys,154.5,6.88,-0.01,-0.22%,7.3,2.25,138.72%,11/27/2019
UCTT,Ultra Clean Holdings,150.8,22.45,1.08,5.05%,23.8,6.94,146.16%,11/27/2019
NVCR,Novocure Ltd Ord Sh,149.3,92.19,0.19,0.21%,98.7,28.83,201.27%,11/27/2019
GSB,Globalscape,149,13.63,0.34,2.56%,14.25,4.22,205.61%,11/27/2019
LSCC,Lattice Semicond,148.1,19.17,0.01,0.05%,21.58,5.59,236.91%,11/27/2019
NVRO,Nevro Corp,145,112.64,1.3,1.17%,114.22,34.75,166.29%,11/27/2019
ATEC,Alphatec Holdings,143.9,7.23,0.15,2.12%,7.68,1.18,171.29%,11/27/2019
LGL,LGL Group,141.1,14.03,-0.32,-2.23%,14.87,5.76,122.70%,11/27/2019
SPAR,Spartan Motors Inc,141.1,17.81,0.1,0.56%,19.31,6.97,124.87%,11/27/2019
PLUG,Plug Power Inc,139.2,4,0.1,2.56%,4.04,0.99,127.27%,11/27/2019
ZYXI,Zynex Inc,137.7,10.76,0.55,5.39%,13.1,2.58,258.67%,11/27/2019
LPG,Dorian Lpg Ltd,136.7,14.48,0.14,0.98%,14.56,5.26,98.36%,11/27/2019
VIPS,Vipshop Holdings Ltd,133.9,13.08,0.41,3.24%,13.25,5.04,135.25%,11/27/2019
LUNA,Luna Innovations Inc,133.8,7.45,0.02,0.27%,7.52,2.68,117.84%,11/27/2019
PFNX,Pfenex Inc,133.5,10.06,0.12,1.21%,11.39,3.13,151.50%,11/27/2019
DYAI,Dyadic International,133,6.16,0.26,4.41%,7.3,1.73,224.21%,11/27/2019
KPTI,Karyopharm Therapeut,131.3,16.94,0.2,1.19%,17.35,3.92,67.23%,11/27/2019
ZEAL,Zealand Pharma A/S ADR,129.9,31.01,-0.16,-0.51%,36.84,11.56,145.53%,11/27/2019
CUE,Cue Biopharma Inc,129.2,11.41,0.5,4.58%,11.42,4.16,130.97%,11/27/2019
AUDC,Audiocodes Ltd,128.5,24,0.55,2.35%,24.35,9,129.45%,11/27/2019
SE,Sea Ltd ADR,127.9,37.78,0.03,0.08%,38.98,10.52,183.42%,11/27/2019
SEAC,Sea Change Intl IN,127.9,3.52,0,0.00%,3.75,1.13,118.63%,11/27/2019
RDVT,Red Violet Inc,127.8,17.11,-0.01,-0.06%,19.5,5.51,133.42%,11/27/2019
ARQL,Arqule Inc,126.3,9.76,0.73,8.08%,12.22,2.23,198.47%,11/27/2019
TPTX,Turning Point Therapeutics Inc,126.1,56.6,0.35,0.62%,58.56,24.21,95.85%,11/27/2019
ARDX,Ardelyx Inc,124.8,7.07,-0.47,-6.23%,7.72,1.6,171.92%,11/27/2019
MODN,Model N Inc,124.7,30.62,-0.27,-0.87%,32,12.98,127.15%,11/27/2019
ATKR,Atkore International Group,124.6,41.88,0.41,0.99%,42.23,18.29,133.97%,11/27/2019
CVNA,Carvana Co. Cl A,124.6,94.98,2.14,2.31%,95,28.44,106.34%,11/27/2019
PODD,Insulet Corp,124.6,186,1.68,0.91%,187.25,70.8,129.57%,11/27/2019
NTRA,Natera Inc,123.4,37.75,-0.73,-1.90%,40.92,11.08,138.92%,11/27/2019
COUP,Coupa Software Inc,123.2,153.91,0.35,0.23%,159.97,52.02,166.05%,11/27/2019
BLD,Topbuild Corp,122.9,112.26,0.05,0.04%,113.74,41.27,120.85%,11/27/2019
